task_id	soc_code	task	is_manual	rationale
10038	51-2041.00	Lay out and examine metal stock or workpieces to be processed to ensure that specifications are met.	True	Task requires physical inspection and manipulation of metal stock/workpieces, involving hands-on examination at the work site.
10039	51-2041.00	Align and fit parts according to specifications, using jacks, turnbuckles, wedges, drift pins, pry bars, and hammers.	True	Task requires physical manipulation of tools (jacks, turnbuckles, wedges, drift pins, pry bars, hammers) and hands-on alignment/fitting of tangible parts.
10040	51-2041.00	Locate and mark workpiece bending and cutting lines, allowing for stock thickness, machine and welding shrinkage, and other component specifications.	True	Locating and marking workpiece lines requires physical manipulation of the workpiece, using marking tools, and hands-on inspection of material specifications.
10041	51-2041.00	Position or tighten braces, jacks, clamps, ropes, or bolt straps, or bolt parts in position for welding or riveting.	True	Positioning and tightening physical tools and parts requires hands-on manipulation of tangible objects and tools to prepare for welding or riveting.
10043	51-2041.00	Move parts into position, manually or with hoists or cranes.	True	Moving parts into position requires physical manipulation of objects and operation of machinery (hoists/cranes) to execute the task.
10044	51-2041.00	Set up and operate fabricating machines, such as brakes, rolls, shears, flame cutters, grinders, and drill presses, to bend, cut, form, punch, drill, or otherwise form and assemble metal components.	True	Task requires operating physical machinery and manually manipulating metal components through bending, cutting, forming, and assembling.
10045	51-2041.00	Hammer, chip, and grind workpieces to cut, bend, and straighten metal.	True	Task requires physical manipulation of metal workpieces using hammers and grinding tools to reshape material.
10046	51-2041.00	Smooth workpiece edges and fix taps, tubes, and valves.	True	Task requires physical manipulation and operation of tools to smooth edges and repair plumbing fixtures—hands-on manual work.
10047	51-2041.00	Design and construct templates and fixtures, using hand tools.	True	Designing and constructing templates and fixtures requires hands-on physical manipulation of objects and operation of hand tools, which is manual work.
10048	51-2041.00	Straighten warped or bent parts, using sledges, hand torches, straightening presses, or bulldozers.	True	Requires physical operation of tools (sledges, torches, presses, bulldozers) to manipulate tangible warped/bent parts into correct shape.
10049	51-2041.00	Mark reference points onto floors or face blocks and transpose them to workpieces, using measuring devices, squares, chalk, and soapstone.	True	Requires physical manipulation of measuring devices, chalk, soapstone, and direct hands-on marking of workpieces.
10050	51-2041.00	Set up face blocks, jigs, and fixtures.	True	Setting up face blocks, jigs, and fixtures requires physical manipulation and arrangement of tangible tools and equipment.
10051	51-2041.00	Remove high spots and cut bevels, using hand files, portable grinders, and cutting torches.	True	Requires operation of physical tools (hand files, grinders, torches) and direct manipulation of objects to remove material.
10053	51-2041.00	Lift or move materials and finished products, using large cranes.	True	Operating large cranes to lift and move materials requires physical operation of machinery and direct control of load movement.
10054	51-2041.00	Heat-treat parts, using acetylene torches.	True	Operating acetylene torches to heat-treat parts requires hands-on operation of physical tools and direct manipulation of tangible objects.
10055	51-2041.00	Preheat workpieces to make them malleable, using hand torches or furnaces.	True	Preheating workpieces requires operating hand torches or furnaces (physical tools) to heat materials for malleability.
10056	51-2041.00	Install boilers, containers, and other structures.	True	Installation requires physical manipulation, assembly of large structures, and hands-on operation of tools and equipment on-site.
10057	51-2041.00	Erect ladders and scaffolding to fit together large assemblies.	True	Erecting ladders and scaffolding requires physical manipulation and assembly of tangible structures to support work.
10058	51-3091.00	Observe, feel, taste, or otherwise examine products during and after processing to ensure conformance to standards.	True	Physical inspection requires hands-on sensory examination of tangible products—touching, tasting, observing directly to assess quality and conformance.
10059	51-3091.00	Observe temperature, humidity, pressure gauges, and product samples and adjust controls, such as thermostats and valves, to maintain prescribed operating conditions for specific stages.	True	Requires physical inspection of gauges and samples, plus manual adjustment of thermostats and valves—direct physical manipulation of equipment controls.
10060	51-3091.00	Operate or tend equipment that roasts, bakes, dries, or cures food items such as cocoa and coffee beans, grains, nuts, and bakery products.	True	Operating/tending food processing equipment requires hands-on machinery operation and physical presence to monitor and control the roasting, baking, drying, or curing process.
10061	51-3091.00	Set temperature and time controls, light ovens, burners, driers, or roasters, and start equipment, such as conveyors, cylinders, blowers, driers, or pumps.	True	Primary execution involves physically operating equipment controls, lighting appliances, and activating machinery—direct physical interaction with tangible equipment.
10062	51-3091.00	Observe flow of materials and listen for machine malfunctions, such as jamming or spillage, and notify supervisors if corrective actions fail.	True	Primary execution requires physical presence at work site to observe material flow and listen for machine malfunctions in real-time.
10064	51-3091.00	Weigh or measure products, using scale hoppers or scale conveyors.	True	Operating physical machinery (scales, hoppers, conveyors) and handling products for measurement requires hands-on physical operation.
10066	51-3091.00	Take product samples during or after processing for laboratory analyses.	True	Requires physically collecting product samples from processing equipment/lines for testing. Involves tangible object handling and physical presence at work site.
10067	51-3091.00	Fill or remove product from trays, carts, hoppers, or equipment, using scoops, peels, or shovels, or by hand.	True	Requires physical manipulation of objects using tools (scoops, peels, shovels) or hands to move products into/out of containers.
10068	51-3091.00	Open valves, gates, or chutes or use shovels to load or remove products from ovens or other equipment.	True	Task requires physical manipulation of equipment controls (valves, gates, chutes) and use of tools (shovels) to load/remove products from ovens.
10069	51-3091.00	Clean equipment with steam, hot water, and hoses.	True	Cleaning equipment with steam, hot water, and hoses requires physical operation of tools and equipment to manipulate tangible objects.
10070	51-3091.00	Clear or dislodge blockages in bins, screens, or other equipment, using poles, brushes, or mallets.	True	Requires physical manipulation using tools (poles, brushes, mallets) to clear blockages in physical equipment.
10071	51-3091.00	Push racks or carts to transfer products to storage, cooling stations, or the next stage of processing.	True	Pushing racks or carts requires physical manipulation and bodily movement to transfer products across a work site.
10072	51-3091.00	Start conveyors to move roasted grain to cooling pans and agitate grain with rakes as blowers force air through perforated bottoms of pans.	True	Involves operating conveyors, physically agitating grain with rakes, and managing machinery to cool roasted grain—primarily hands-on physical work.
10073	51-3091.00	Smooth out products in bins, pans, trays, or conveyors, using rakes or shovels.	True	Task requires physical manipulation of tools (rakes/shovels) and direct handling of products in bins/conveyors.
10074	51-3091.00	Install equipment, such as spray units, cutting blades, or screens, using hand tools.	True	Installing equipment using hand tools requires physical manipulation of tangible objects and tools to assemble and secure equipment components.
10075	51-3091.00	Test products for moisture content, using moisture meters.	True	Requires physical operation of moisture meters on tangible products; hands-on measurement and inspection.
10078	51-4022.00	Measure and inspect machined parts to ensure conformance to product specifications.	True	Physical inspection requiring hands-on measurement of tangible parts using gauges or tools to verify dimensions and specifications.
10080	51-4022.00	Start machines to produce sample workpieces, and observe operations to detect machine malfunctions and to verify that machine setups conform to specifications.	True	Starting machines and observing physical operations to verify setup and detect malfunctions requires hands-on operation and on-site physical inspection.
10081	51-4022.00	Remove dies from machines when production runs are finished.	True	Removing dies from machines requires physical manipulation of equipment and tangible objects at a work site.
10082	51-4022.00	Turn handles or knobs to set pressures and depths of ram strokes and to synchronize machine operations.	True	Physically turning handles or knobs requires manual operation and direct physical manipulation of machine controls.
10084	51-4022.00	Repair, maintain, and replace parts on dies.	True	Requires physical manipulation and repair of die equipment parts; hands-on maintenance and replacement work.
10085	51-4022.00	Set up, operate, or tend presses and forging machines to perform hot or cold forging by flattening, straightening, bending, cutting, piercing, or other operations to taper, shape, or form metal.	True	Operating presses and forging machines involves physical operation of machinery and manipulating metal objects through various shaping operations.
10086	51-4022.00	Position and move metal wires or workpieces through a series of dies that compress and shape stock to form die impressions.	True	Positioning and moving metal wires/workpieces through dies requires physical manipulation of tangible objects and operation of die-forming machinery.
10087	51-4022.00	Install, adjust, and remove dies, synchronizing cams, forging hammers, and stop guides, using overhead cranes or other hoisting devices, and hand tools.	True	Requires physical manipulation of dies, synchronization of machinery components, and operation of overhead cranes and hand tools.
10088	51-4022.00	Select, align, and bolt positioning fixtures, stops, and specified dies to rams and anvils, forging rolls, or presses and hammers.	True	Requires physical manipulation and assembly of fixtures, dies, and equipment onto machinery using tools like wrenches for bolting.
10089	51-4022.00	Trim and compress finished forgings to specified tolerances.	True	Trimming and compressing forgings requires physical manipulation of metal objects and operation of machinery to achieve specified tolerances.
10090	51-4022.00	Sharpen cutting tools and drill bits, using bench grinders.	True	Requires physical operation of bench grinder machinery and manual handling of tools to sharpen them—primary execution is hands-on mechanical work.
10091	51-4023.00	Adjust and correct machine set-ups to reduce thicknesses, reshape products, and eliminate product defects.	True	Requires hands-on physical manipulation and adjustment of machinery, tools, and direct interaction with products to shape and refine them.
10093	51-4023.00	Examine, inspect, and measure raw materials and finished products to verify conformance to specifications.	True	Requires physical inspection and measurement of tangible objects to verify specifications; hands-on examination of materials and products.
10095	51-4023.00	Manipulate controls and observe dial indicators to monitor, adjust, and regulate speeds of machine mechanisms.	True	Requires physical manipulation of machine controls and hands-on observation of dial indicators to regulate speeds—direct physical execution.
10096	51-4023.00	Start operation of rolling and milling machines to flatten, temper, form, and reduce sheet metal sections and to produce steel strips.	True	Starting and operating physical machinery to process sheet metal requires hands-on operation of industrial equipment and machines.
10097	51-4023.00	Set distance points between rolls, guides, meters, and stops, according to specifications.	True	Setting distance points involves physical manipulation and positioning of mechanical components (rolls, guides, meters, stops) according to specifications, requiring hands-on mechanical adjustment.
10098	51-4023.00	Thread or feed sheets or rods through rolling mechanisms, or start and control mechanisms that automatically feed steel into rollers.	True	Threading/feeding physical materials through machinery and operating control mechanisms requires hands-on physical manipulation and operation of equipment.
10099	51-4023.00	Position, align, and secure arbors, spindles, coils, mandrels, dies, and slitting knives.	True	Positioning, aligning, and securing physical components (arbors, spindles, coils, mandrels, dies, knives) requires hands-on manipulation of tangible objects and tools.
10101	51-4023.00	Fill oil cups, adjust valves, and observe gauges to control flow of metal coolants and lubricants onto workpieces.	True	Task involves physical manipulation (filling oil cups), mechanical adjustment (adjusting valves), and hands-on inspection (observing gauges) to control coolant/lubricant flow.
10103	51-4023.00	Install equipment such as guides, guards, gears, cooling equipment, and rolls, using hand tools.	True	Task requires physical manipulation of equipment and hand tools to install guides, guards, gears, and rolls—direct manual work.
10104	51-4023.00	Signal and assist other workers to remove and position equipment, fill hoppers, and feed materials into machines.	True	Task requires physical positioning of equipment, filling hoppers, and material feeding—hands-on manipulation and bodily movement at worksite.
10107	51-4023.00	Activate shears and grinders to trim workpieces.	True	Operating physical tools (shears and grinders) to manipulate and trim workpieces is hands-on manual work.
10108	51-4023.00	Remove scratches and polish roll surfaces, using polishing stones and electric buffers.	True	Requires physical manipulation of tools (polishing stones, electric buffers) and hands-on work on tangible objects (roll surfaces).
10109	51-4023.00	Disassemble sizing mills removed from rolling lines, and sort and store parts.	True	Disassembling equipment requires physical manipulation of machinery components; sorting and storing parts involves hands-on handling of tangible objects.
10110	51-4031.00	Measure completed workpieces to verify conformance to specifications, using micrometers, gauges, calipers, templates, or rulers.	True	Requires physical manipulation of measuring tools (micrometers, gauges, calipers, rulers) and tangible workpieces to inspect and verify specifications.
10111	51-4031.00	Examine completed workpieces for defects, such as chipped edges or marred surfaces and sort defective pieces according to types of flaws.	True	Physical inspection of tangible objects—examining workpieces for defects requires hands-on examination, touching/seeing surfaces, and manual sorting.
10113	51-4031.00	Load workpieces, plastic material, or chemical solutions into machines.	True	Loading materials into machines requires physical manipulation and handling of tangible objects.
10114	51-4031.00	Set up, operate, or tend machines to saw, cut, shear, slit, punch, crimp, notch, bend, or straighten metal or plastic material.	True	Primary execution requires operating physical machinery and tools to manipulate metal or plastic material through cutting, bending, and shaping actions.
10116	51-4031.00	Test and adjust machine speeds or actions, according to product specifications, using gauges and hand tools.	True	Task requires using gauges and hand tools to physically test and adjust machine speeds, involving hands-on manipulation of equipment.
10117	51-4031.00	Install, align, and lock specified punches, dies, cutting blades, or other fixtures in rams or beds of machines, using gauges, templates, feelers, shims, and hand tools.	True	Task requires physical manipulation of tools, fixtures, and machine components; hands-on installation, alignment, and locking of equipment using gauges and hand tools.
10118	51-4031.00	Clean and lubricate machines.	True	Requires physical manipulation of machines and application of lubricants by hand.
10119	51-4031.00	Position, align, and secure workpieces against fixtures or stops on machine beds or on dies.	True	Positioning, aligning, and securing workpieces involves physical manipulation of tangible objects and machine equipment to prepare them for processing.
10120	51-4031.00	Scribe reference lines on workpieces as guides for cutting operations, according to blueprints, templates, sample parts, or specifications.	True	Scribing reference lines requires physical manipulation of tools and workpieces to mark surfaces as cutting guides.
10121	51-4031.00	Set blade tensions, heights, and angles to perform prescribed cuts, using wrenches.	True	Operating physical tools (wrenches) to manually adjust blade equipment settings for cutting work.
10122	51-4031.00	Adjust ram strokes of presses to specified lengths, using hand tools.	True	Adjusting ram strokes using hand tools requires physical manipulation and operation of equipment to modify machinery.
10123	51-4031.00	Place workpieces on cutting tables, manually or using hoists, cranes, or sledges.	True	Placing workpieces requires physical manipulation and operation of equipment like hoists and cranes to position objects on tables.
10124	51-4031.00	Position guides, stops, holding blocks, or other fixtures to secure and direct workpieces, using hand tools and measuring devices.	True	Positioning fixtures and securing workpieces involves physical manipulation of tangible objects using hand tools and measuring devices—core manual work.
10126	51-4031.00	Turn valves to start flow of coolant against cutting areas or to start airflow that blows cuttings away from kerfs.	True	Physically manipulating valves to control coolant and airflow at a work site requires direct manual operation of equipment.
10127	51-4031.00	Set stops on machine beds, change dies, and adjust components, such as rams or power presses, when making multiple or successive passes.	True	Task requires physical manipulation of machine components, dies, and equipment adjustment during machine operation.
10128	51-4031.00	Lubricate workpieces with oil.	True	Lubricating workpieces requires physical manipulation of objects and application of oil, a hands-on manual task.
10129	51-4031.00	Replace defective blades or wheels, using hand tools.	True	Requires physical manipulation of tools and mechanical components to remove and install replacement parts.
10130	51-4031.00	Mark identifying data on workpieces.	True	Marking workpieces requires physical manipulation—writing, stamping, or labeling tangible objects.
10131	51-4031.00	Turn controls to set cutting speeds, feed rates, or table angles for specified operations.	True	Turning controls requires physical manipulation of machinery controls to adjust operational parameters during cutting operations.
10134	51-4031.00	Grind out burrs or sharp edges, using portable grinders, speed lathes, or polishing jacks.	True	Grinding burrs uses portable grinders and physical tools. Requires hands-on operation of machinery and physical manipulation of objects.
10135	51-4031.00	Sharpen dulled blades, using bench grinders, abrasive wheels, or lathes.	True	Involves operating physical tools (bench grinders, abrasive wheels, lathes) to manually manipulate and sharpen blades.
10136	51-4031.00	Remove housings, feed tubes, tool holders, or other accessories to replace worn or broken parts, such as springs or bushings.	True	Requires physical manipulation and disassembly of equipment parts, removal of housings and accessories, and replacement of worn components.
10137	51-4031.00	Hone cutters with oilstones to remove nicks.	True	Honing cutters with oilstones requires physical manipulation of tools and objects to sharpen and maintain blades.
10138	51-4031.00	Select, clean, and install spacers, rubber sleeves, or cutters on arbors.	True	Task requires physical manipulation of components (selecting, cleaning, installing spacers, sleeves, cutters) on mechanical equipment (arbors).
10139	51-4031.00	Preheat workpieces, using heating furnaces or hand torches.	True	Operating heating furnaces or hand torches to preheat workpieces involves direct physical operation of equipment and tools.
10140	51-4033.00	Inspect or measure finished workpieces to determine conformance to specifications, using measuring instruments, such as gauges or micrometers.	True	Physical inspection using measuring instruments (gauges, micrometers) requires hands-on examination and manipulation of tangible workpieces.
10141	51-4033.00	Lift and position workpieces, manually or with hoists, and secure them in hoppers or on machine tables, faceplates, or chucks, using clamps.	True	Involves physical manipulation and operation of equipment (hoists, clamps) to lift, position, and secure tangible workpieces.
10142	51-4033.00	Set up, operate, or tend grinding and related tools that remove excess material or burrs from surfaces, sharpen edges or corners, or buff, hone, or polish metal or plastic workpieces.	True	Requires operation of grinding tools and physical manipulation of workpieces to remove material, sharpen, and polish surfaces.
10143	51-4033.00	Observe machine operations to detect any problems, making necessary adjustments to correct problems.	True	Observing machine operations requires physical presence at the work site and making mechanical adjustments to correct problems involves hands-on operation of machinery.
10144	51-4033.00	Set and adjust machine controls according to product specifications, using knowledge of machine operation.	True	Operating machine controls requires physical manipulation of buttons, levers, or dials to adjust settings according to specifications.
10145	51-4033.00	Measure workpieces and lay out work, using precision measuring devices.	True	Measuring and laying out workpieces requires physical manipulation and use of precision measuring tools and devices.
10148	51-4033.00	Mount and position tools in machine chucks, spindles, or other tool holding devices, using hand tools.	True	Physically manipulating tools into machine chucks and spindles using hand tools requires tangible object handling.
10149	51-4033.00	Activate machine start-up switches to grind, lap, hone, debar, shear, or cut workpieces, according to specifications.	True	Operating physical machinery (grinding, lapping, honing machines) by activating start-up switches requires hands-on interaction with equipment controls.
10150	51-4033.00	Move machine controls to index workpieces, and to adjust machines for pre-selected operational settings.	True	Requires physical manipulation of machine controls and adjustment of machinery settings during operation.
10151	51-4033.00	Brush or spray lubricating compounds on workpieces, or turn valve handles and direct flow of coolant against tools and workpieces.	True	Task requires physical manipulation (brushing, spraying, turning valve handles) and directing coolant flow to workpieces—direct hands-on physical execution.
10153	51-4033.00	Slide spacers between buffs on spindles to set spacing.	True	Requires physical manipulation of objects (spacers, buffs) and hands-on assembly of spindle components.
10154	51-4033.00	Thread and hand-feed materials through machine cutters or abraders.	True	Task requires physical manipulation of materials through machinery and hands-on operation of machine tools.
10155	51-4033.00	Adjust air cylinders and setting stops to set traverse lengths and feed arm strokes.	True	Adjusting air cylinders and stops requires hands-on physical manipulation of mechanical components to set equipment parameters.
10156	51-4033.00	Repair or replace machine parts, using hand tools, or notify engineering personnel when corrective action is required.	True	Task involves physical manipulation of machine parts using hand tools and repairing/replacing components—core manual work.
10158	51-4051.00	Draw smelted metal samples from furnaces or kettles for analysis, and calculate types and amounts of materials needed to ensure that materials meet specifications.	True	Drawing metal samples from furnaces requires physical manipulation and hands-on interaction with equipment and materials.
10159	51-4051.00	Drain, transfer, or remove molten metal from furnaces, and place it into molds, using hoists, pumps, or ladles.	True	Involves physical operation of equipment (hoists, pumps, ladles) and manual handling of molten metal in industrial setting.
10161	51-4051.00	Operate controls to move or discharge metal workpieces from furnaces.	True	Operating furnace controls and physically moving/discharging metal workpieces requires hands-on physical operation of machinery and handling of tangible objects.
10162	51-4051.00	Weigh materials to be charged into furnaces, using scales.	True	Physical manipulation of materials and operation of weighing scales/equipment at a worksite.
10164	51-4051.00	Inspect furnaces and equipment to locate defects and wear.	True	Physical inspection requires hands-on examination of equipment, touching/seeing components to identify defects and wear.
10165	51-4051.00	Observe air and temperature gauges or metal color and fluidity, and turn fuel valves or adjust controls to maintain required temperatures.	True	Requires physical observation of gauges and color, manipulation of fuel valves and controls to maintain system operation and temperatures.
10167	51-4051.00	Remove impurities from the surface of molten metal, using strainers.	True	Removing impurities from molten metal using strainers requires physical manipulation of tools and objects in direct contact with the work material.
10168	51-4051.00	Kindle fires, and shovel fuel and other materials into furnaces or onto conveyors by hand, with hoists, or by directing crane operators.	True	Shoveling materials by hand and directing crane operators for physical material handling requires manual labor and physical presence.
10169	51-4051.00	Sprinkle chemicals over molten metal to bring impurities to the surface.	True	Physical action of sprinkling chemicals on molten metal requires direct manual operation and physical presence at worksite.
10171	51-4051.00	Prepare material to load into furnaces, including cleaning, crushing, or applying chemicals, by using crushing machines, shovels, rakes, or sprayers.	True	Task requires physical manipulation using tools (crushing machines, shovels, rakes, sprayers) and manual cleaning/chemical application work.
10172	51-4051.00	Scrape accumulations of metal oxides from floors, molds, and crucibles, and sift and store them for reclamation.	True	Scraping metal oxide accumulations and sifting requires physical manipulation of tangible materials and operation of physical tools.
10173	51-4072.00	Observe continuous operation of automatic machines to ensure that products meet specifications and to detect jams or malfunctions, making adjustments as necessary.	True	Requires physical presence at machines, hands-on detection of jams, and manual adjustments to equipment during operation.
10174	51-4072.00	Measure and visually inspect products for surface and dimension defects to ensure conformance to specifications, using precision measuring instruments.	True	Physical inspection and measurement requires hands-on use of precision instruments and visual examination of tangible products at the worksite.
10175	51-4072.00	Set up, operate, or tend metal or plastic molding, casting, or coremaking machines to mold or cast metal or thermoplastic parts or products.	True	Setting up, operating, and tending molding/casting machines requires hands-on operation of machinery and manipulation of metal or plastic parts.
10176	51-4072.00	Position and secure workpieces on machines, and start feeding mechanisms.	True	Positioning and securing workpieces requires physical manipulation of tangible objects and operating machine mechanisms—hands-on execution.
10177	51-4072.00	Turn valves and dials of machines to regulate pressure, temperature, and speed and feed rates, and to set cycle times.	True	Task requires physical manipulation of machine controls (valves, dials) to regulate equipment parameters.
10178	51-4072.00	Remove finished or cured products from dies or molds, using hand tools, air hoses, and other equipment, stamping identifying information on products when necessary.	True	Task involves physical manipulation of products (removing from molds), hand tools, air hoses, and stamping operations—all manual physical execution.
10179	51-4072.00	Skim or pour dross, slag, or impurities from molten metal, using ladles, rakes, hoes, spatulas, or spoons.	True	Task requires physical manipulation of tools (ladles, rakes, hoes, spatulas, spoons) to work with molten metal at a work site.
10180	51-4072.00	Trim excess material from parts, using knives, and grind scrap plastic into powder for reuse.	True	Trimming material with knives and grinding plastic involves physical manipulation of tools and objects to process parts.
10181	51-4072.00	Cool products after processing to prevent distortion.	True	Cooling products involves physical handling and manipulation of tangible objects post-processing to prevent warping or distortion.
10182	51-4072.00	Install dies onto machines or presses and coat dies with parting agents, according to work order specifications.	True	Installing dies on machines and applying parting agents requires physical manipulation of equipment, tools, and materials at the work site.
10183	51-4072.00	Mix and measure compounds, or weigh premixed compounds, and dump them into machine tubs, cavities, or molds.	True	Task involves physical manipulation—measuring, mixing, weighing, and dumping compounds into containers. Direct hands-on work with tangible materials and physical objects.
10185	51-4072.00	Spray, smoke, or coat molds with compounds to lubricate or insulate molds, using acetylene torches or sprayers.	True	Task requires physical operation of tools (acetylene torches, sprayers) and manual application of compounds to molds.
10187	51-4072.00	Adjust equipment and workpiece holding fixtures, such as mold frames, tubs, and cutting tables, to ensure proper functioning.	True	Adjusting fixtures requires physical manipulation and hands-on setup of equipment and workpiece holders to ensure proper functioning.
10188	51-4072.00	Remove parts, such as dies, from machines after production runs are finished.	True	Task requires physical removal of tangible parts (dies) from machines after production, which is manual handling of equipment components.
10190	51-4072.00	Pour or load metal or sand into melting pots, furnaces, molds, or hoppers, using shovels, ladles, or machines.	True	Involves physical manipulation of materials using tools and machines to load/pour into equipment.
10191	51-4072.00	Unload finished products from conveyor belts, pack them in containers, and place containers in warehouses.	True	Involves physical manipulation of products and containers, and physical placement in warehouses.
10192	51-4072.00	Connect water hoses to cooling systems of dies, using hand tools.	True	Requires physical manipulation of hoses and hand tools to connect cooling systems to dies at a work site.
10193	51-4072.00	Preheat tools, dies, plastic materials, or patterns, using blowtorches or other equipment.	True	Preheating tools and materials using blowtorches requires hands-on operation of physical equipment to manipulate objects for manufacturing preparation.
