task_id	soc_code	task	task_category	human_time_minutes	human_time_rationale	robot_success_prob	robot_success_rationale
10291	51-4122.00	Add chemicals or materials to workpieces or machines to facilitate bonding or to cool workpieces.	manipulation	3.0	One instance = applying adhesive/flux/coolant to a single workpiece or machine. A skilled worker typically takes 1–5 minutes depending on method (brush, spray, pour).	30.0	Requires precise liquid/chemical dispensing, tool-use (brush, nozzle, bottle), and surface targeting. Current humanoids struggle with fluid handling, variable containers, and ensuring correct coverage/quantity without spilling.
12168	51-6031.00	Position material or articles in clamps, templates, or hoop frames prior to automatic operation of machines.	assembly	3.0	One instance = loading a single workpiece into a clamp, template, or hoop frame. A skilled operator typically takes 1–5 minutes depending on alignment precision required.	35.0	Requires precise alignment, grasping flexible/varied materials, and securing into fixtures. Current humanoids handle structured pick-and-place well but struggle with accurate positioning into tight clamps or hoop frames, especially with deformable materials like fabric.
12272	51-7041.00	Unclamp and remove finished workpieces from tables.	manipulation	3.0	One instance = unclamping and removing a single finished workpiece from a table. A competent worker locates clamps, releases them, and lifts/moves the part in ~2–4 minutes.	35.0	Robots can reach and grasp objects on flat surfaces, but varied clamp types (toggle, screw, pneumatic) demand fine dexterity and tool-use generalization. Workpiece weight/shape variability further reduces reliability. Feasible in structured settings but inconsistent.
14054	51-6021.00	Insert heated metal forms into ties and touch up rough places with hand irons.	manipulation	3.0	One instance = pressing/shaping one necktie with heated forms and hand irons. A skilled presser completes this in ~2–4 minutes per tie.	6.0	Requires fine dexterity to insert heated metal forms into a delicate fabric tie, precise pressure/angle control with hand irons, and heat-sensitive touch-up — far beyond current general-purpose robot dexterity and tactile feedback capabilities.
15092	51-9071.06	Examine gems during processing to ensure accuracy of angles and positions of cuts or bores, using magnifying glasses, loupes, or shadowgraphs.	inspection	3.0	One instance = inspecting a single gem during processing. A skilled gemologist spends ~2–4 minutes examining one stone's cut angles and bore positions under magnification.	6.0	Requires ultra-fine dexterous handling of tiny, reflective gems, precise optical tool use (loupe/shadowgraph), and expert visual interpretation of sub-millimeter cut angles. Current robots lack the micro-dexterity, specialized optics integration, and gemological perceptual judgment needed.
19478	51-9151.00	Place sensitized paper in frames of projection printers, photostats, or other reproduction machines.	manipulation	3.0	One instance = loading one sheet of sensitized paper into a frame/machine. A skilled operator aligns and secures a sheet in ~2–4 minutes.	18.0	Requires precise, delicate sheet handling (thin, light-sensitive paper), accurate alignment in a frame, and operating specialized reproduction equipment. Poor generalization to varied machine types; high risk of misalignment or paper damage.
20894	33-9032.00	Lock doors and gates of entrances and exits to secure buildings.	manipulation	3.0	One instance = locking a single door or gate. A competent worker walks to the entrance, checks the door/gate, and locks it (key, deadbolt, padlock, or latch) in ~2–4 minutes.	25.0	Robots can navigate to doors and grasp handles at ~50–70%, but operating keys, deadbolts, padlocks, and varied latch mechanisms requires fine dexterity and generalization that current humanoids struggle with. Outdoor/uneven terrain near gates adds locomotion difficulty.
2280	35-3031.00	Serve food or beverages to patrons, and prepare or serve specialty dishes at tables as required.	food prep	3.0	One instance = serving a single patron or table their ordered food/beverages, including carrying plates/drinks from kitchen/bar and placing them. Typically 2–4 minutes per table visit.	8.0	Requires dynamic navigation in crowded, unpredictable restaurant environments, stable tray/plate carrying, social interaction, and specialty dish preparation tableside — far beyond current humanoid reliability in unstructured public settings.
23120	35-3023.00	Distribute food to servers.	food prep	3.0	One instance = plating and handing off one table's order to waiting servers at a kitchen pass. A competent expediter takes ~2–4 minutes per table's worth of dishes.	12.0	Requires identifying correct dishes, reading tickets, dynamic coordination with multiple humans, carrying loaded plates without spilling, and communicating verbally — well beyond current robot generalization and dexterity in a busy kitchen environment.
23782	53-4022.00	Raise levers to couple and uncouple cars for makeup and breakup of trains.	locomotion	3.0	One instance = coupling or uncoupling one pair of rail cars. A skilled car-knocker typically takes 2–4 minutes including walking to position and verifying the connection.	8.0	Requires navigating uneven, outdoor rail yard terrain, locating and grasping a heavy coupler lever under varying orientations/conditions, and timing with moving cars — far beyond reliable 2026 humanoid capability.
671	41-1011.00	Examine merchandise to ensure that it is correctly priced and displayed and that it functions as advertised.	inspection	3.0	One instance = inspecting a single merchandise item for correct price tag, display placement, and functional check. A competent retail worker takes ~2–4 minutes per item.	18.0	Requires reading price labels (OCR feasible), verifying display placement (vision feasible), AND functional testing of the product (highly variable, unpredictable interactions). Generalization across product types is very poor; manipulation and product-specific testing push success low.
767	43-6012.00	Make photocopies of correspondence, documents, and other printed matter.	manipulation	3.0	One instance = copying a single document (1–5 pages): place on glass or feed tray, select settings, retrieve copies. Typically 2–4 minutes for a competent office worker.	12.0	Requires fine paper handling, precise placement on copier glass, navigating copier UI/buttons, and retrieving output without jamming or misalignment. Current humanoids lack reliable dexterous paper manipulation and copier UI interaction.
9807	45-4022.00	Control hydraulic tractors equipped with tree clamps and booms to lift, swing, and bunch sheared trees.	heavy machinery	3.0	One instance = bunching a single group of sheared trees (grab, swing, deposit). A skilled feller-buncher operator cycles through this in ~2–4 minutes per bunch.	2.0	Requires seated operation of a large hydraulic tractor with specialized controls, outdoor rough terrain, complex real-time judgment. No humanoid robot can operate heavy forestry machinery autonomously at this level in 2026.
10289	51-4122.00	Fill hoppers and position spouts to direct flow of flux or manually brush flux onto seams of workpieces.	assembly	4.0	One instance = fluxing a single workpiece seam. Filling a hopper/positioning a spout or brushing flux onto a seam takes a skilled worker roughly 3–5 minutes per piece.	18.0	Requires precise seam identification via perception, dexterous brush control or spout alignment on irregular weld seams, and handling viscous flux material. Current humanoids lack reliable fine dexterity and seam-tracing accuracy for industrial quality standards.
21005	35-2021.00	Assemble meal trays with foods in accordance with patients' diets.	food prep	4.0	One instance = assembling one patient meal tray. A trained dietary aide typically takes 3–5 minutes to read the diet order, select correct foods/portions, and arrange them on a tray.	8.0	Requires reading diet orders, identifying correct food items, portioning, and precise placement—combining language understanding, fine dexterous manipulation of varied soft/liquid foods, and dietary compliance logic. Far beyond current general-purpose robot capability in an unstructured kitchen/cafeteria setting.
