task_id	soc_code	task	task_category	human_time_minutes	human_time_rationale	robot_success_prob	robot_success_rationale
4513	39-4021.00	Offer assistance to mourners as they enter or exit limousines.	caregiving	2.0	One instance = assisting one mourner in/out of a limousine. A competent human takes ~1–3 minutes per person, including greeting, steadying, and guiding.	8.0	Requires outdoor terrain near a vehicle, gentle physical contact with distressed humans, dynamic social cues, and precise hand-steadying. Current humanoids lack safe unstructured caregiving touch, social sensitivity, and reliable outdoor/vehicle-adjacent operation.
7177	53-7081.00	Dismount garbage trucks to collect garbage and remount trucks to ride to the next collection point.	vehicle operation	2.0	One instance = dismount, collect garbage at one stop, and remount. A sanitation worker completes this cycle in ~1–3 minutes per stop.	8.0	Requires safely dismounting/remounting a moving truck, navigating variable outdoor terrain, handling diverse bins/bags, and coordinating with a moving vehicle — far beyond current humanoid generalization and outdoor mobility limits.
8799	51-3022.00	Inspect meat products for defects, bruises or blemishes and remove them along with any excess fat.	inspection	2.0	One instance = inspecting and trimming one cut/piece of meat on a processing line. A skilled worker handles this in ~1–3 minutes per piece.	8.0	Requires fine visual discrimination of subtle defects, bruises, and blemishes on irregular wet/slippery surfaces, plus precise knife/trimming dexterity. Current robots lack reliable food-surface perception and delicate cutting control for variable meat shapes.
1077	11-9051.00	Test cooked food by tasting and smelling it to ensure palatability and flavor conformity.	food prep	3.0	One instance = tasting and smelling a single dish or batch. A cook takes a small sample, evaluates flavor, aroma, and palatability, and forms a judgment — typically 2–4 minutes.	2.0	Requires biological taste and olfaction — senses current humanoid robots entirely lack. No frontier robot has chemical taste/smell sensors integrated for food QA. Physical sampling gesture is also extremely delicate and unsafe.
11309	43-5041.00	Read electric, gas, water, or steam consumption meters and enter data in route books or hand-held computers.	inspection	3.0	One instance = reading a single utility meter and logging the value. A competent meter reader typically handles one meter in ~2–4 minutes including walking to it, reading the display, and entering data.	12.0	Requires outdoor/indoor navigation to varied meter locations, visually reading analog or digital gauges in variable lighting, and accurately entering data. Current humanoids struggle with unstructured outdoor terrain, precise gauge reading, and data-entry on handheld devices.
11352	43-5052.00	Return incorrectly addressed mail to senders.	manipulation	3.0	"One instance = one piece of mail. A postal worker takes ~1–3 min to inspect the address, mark/label it ""Return to Sender,"" and place it in the outgoing mail stream."	8.0	Requires reading handwritten/printed addresses, cross-referencing records to confirm misaddressing, applying a stamp/label, and routing correctly — combining fine manipulation, OCR, and decision-making beyond current robot generalization.
14348	51-9022.00	Clean brass particles from files by drawing file cards through file grooves.	manipulation	3.0	One instance = cleaning one file with a file card. A competent worker draws the card through the grooves several times, taking ~2–4 minutes per file.	12.0	Requires precise alignment of a narrow tool into fine file grooves, firm controlled dragging force, and tactile feedback to confirm cleaning. Current robots lack the fine dexterity and force-sensitive groove-tracking needed for reliable success.
18733	35-2021.00	Operate cash register, handle money, and give correct change.	manipulation	3.0	One instance = one customer transaction: scanning/entering items, accepting payment, and returning correct change. Typical retail transaction takes ~2–4 minutes.	8.0	Requires fine dexterity to handle coins/bills, operating a specific POS interface, reliable currency recognition, and correct change calculation. Current humanoids lack reliable fine-finger manipulation of currency and POS integration.
21070	35-9031.00	Assist other restaurant workers by serving food and beverages, or by bussing tables.	food prep	3.0	One instance = serving a single table's order or bussing one table; a competent worker completes this in roughly 2–4 minutes on average.	18.0	Requires navigating a crowded, dynamic restaurant floor, carrying loaded trays with precision, interacting with patrons, and handling varied dishware. Current humanoids lack reliable tray balancing, crowd navigation, and social interaction needed for acceptable quality.
2280	35-3031.00	Serve food or beverages to patrons, and prepare or serve specialty dishes at tables as required.	food prep	3.0	One instance = serving a single patron or table their ordered food/beverages, including carrying plates/drinks from kitchen/bar and placing them. Typically 2–4 minutes per table visit.	8.0	Requires dynamic navigation in crowded, unpredictable restaurant environments, stable tray/plate carrying, social interaction, and specialty dish preparation tableside — far beyond current humanoid reliability in unstructured public settings.
23783	53-4022.00	Climb ladders to tops of cars to set brakes.	locomotion	3.0	One instance = climbing a ladder to the top of one railcar and setting its hand brake. A competent railroad worker completes this in ~2–4 minutes per car.	4.0	Climbing a vertical railcar ladder onto a curved, elevated, outdoor surface is extremely challenging for current humanoids. High fall risk, poor generalization to ladder rungs, outdoor/unstructured terrain, and fine brake-wheel manipulation combine to make autonomous success near-zero.
7039	45-4011.00	Select tree seedlings, prepare the ground, or plant the trees in reforestation areas, using manual planting tools.	manipulation	3.0	One instance = planting one seedling: select it, make a hole with a dibble/hoedad, place seedling, firm soil. Experienced planters do ~20/hour on good terrain.	4.0	Requires outdoor rough/sloped terrain locomotion, bimanual tool use (hoedad/dibble), seedling selection, and precise planting depth — all in unstructured forest environments. Far beyond 2026 frontier robot capability.
8335	49-3022.00	Cool or warm glass in the event of temperature extremes.	manipulation	3.0	One instance = tempering a single pane or piece of glass by applying cooling/warming measures (e.g., damp cloth, warm air). Takes ~2–4 minutes for a competent worker.	25.0	Requires detecting temperature extremes via sensors, identifying glass, and carefully applying thermal treatment without cracking it. Perception and gentle manipulation are feasible but fragile-object handling and situational judgment limit reliability.
9344	27-4021.00	Adjust apertures, shutter speeds, and camera focus according to a combination of factors, such as lighting, field depth, subject motion, film type, and film speed.	inspection	3.0	One instance = adjusting camera settings for a single shot setup. A skilled photographer assesses conditions and dials in aperture, shutter speed, and focus in ~2–4 minutes.	4.0	Requires fine finger dexterity to operate small camera dials/rings, nuanced perceptual judgment of lighting/depth/motion, and creative/contextual decision-making. Current humanoids lack the precision manipulation and photographic reasoning needed.
9670	41-1012.00	Examine merchandise to ensure correct pricing and display, and that it functions as advertised.	inspection	3.0	One instance = inspecting a single item/display unit for correct price tag, proper placement, and basic functional check. A retail worker handles this in ~3 minutes per item.	20.0	Robots can navigate retail floors and read price tags via vision, but verifying correct pricing against a database, checking display arrangement standards, and functionally testing diverse merchandise (electronics, toys, appliances) requires generalized perception, tool-use, and judgment beyond current reliable capability.
